"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"TATAPOWER","Tata Power Company Limited","Closure of operations","Tata Power Company Limited has informed the Exchange about Closure of operations","17-Oct-2025 17:29:28","2025-10-17 17:29:28","17-Oct-2025 17:29:29","00:00:01","https://nsearchives.nseindia.com/corporate/VPTPCL_17102025172911_Closure_of_Unit.pdf"
"TATAPOWER","Tata Power Company Limited","Copy of Newspaper Publication","Tata Power Company Limited has informed the Exchange about Copy of Newspaper Publication","17-Oct-2025 16:10:32","2025-10-17 16:10:32","17-Oct-2025 16:10:33","00:00:01","https://nsearchives.nseindia.com/corporate/VPTPCL_17102025161015_Newspaper.pdf"
"TATAPOWER","Tata Power Company Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Tata Power Company Limited has informed the Exchange that Company will hold 1:1 physical/ group meetings for group of investors on Friday, October 10, 2025 in Mumbai.","07-Oct-2025 16:59:53","2025-10-07 16:59:53","07-Oct-2025 16:59:53","00:00:00","https://nsearchives.nseindia.com/corporate/VPTPCL_07102025165942_Investormeetnew.pdf"
"TATAPOWER","Tata Power Company Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Tata Power Company Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","03-Oct-2025 14:48:13","2025-10-03 14:48:13","03-Oct-2025 14:48:14","00:00:01","https://nsearchives.nseindia.com/corporate/VPTPCL_03102025144806_Reg_74_5_-Cover_letter.pdf"
"TATAPOWER","Tata Power Company Limited","Awarding of order(s)/contract(s)","Tata Power Company Limited has informed the Exchange about Awarding of order(s)/contract(s)","02-Oct-2025 09:54:50","2025-10-02 09:54:50","02-Oct-2025 09:54:51","00:00:01","https://nsearchives.nseindia.com/corporate/VPTPCL_02102025095430_Reg_30_Awarding_of_Contract.pdf"
"TATAPOWER","Tata Power Company Limited","Press Release","Tata Power Company Limited has informed the Exchange regarding a press release dated October 02, 2025, titled ""Tata Power Renewables signs PPA with Tata Power Mumbai Distribution to Set up 80 MW Firm and Dispatchable Renewable Energy Project."".","02-Oct-2025 09:42:45","2025-10-02 09:42:45","02-Oct-2025 09:42:47","00:00:02","https://nsearchives.nseindia.com/corporate/VPTPCL_02102025094214_PR02102025.pdf"
"TATAPOWER","Tata Power Company Limited","Updates","Tata Power Company Limited has informed the Exchange regarding 'Intimation of change in email address of the Company s Registrar and Share Transfer Agent (RTA) - MUFG Intime India Private Limited'.","01-Oct-2025 12:46:06","2025-10-01 12:46:06","01-Oct-2025 12:46:07","00:00:01","https://nsearchives.nseindia.com/corporate/VPTPCL_01102025124540_Change_in_the_Email_Address_of_RTA.pdf"
"TATAPOWER","Tata Power Company Limited","Copy of Newspaper Publication","Tata Power Company Limited has informed the Exchange about Copy of Newspaper Publication","29-Sep-2025 17:05:10","2025-09-29 17:05:10","29-Sep-2025 17:05:11","00:00:01","https://nsearchives.nseindia.com/corporate/VPTPCL_29092025170458_NewspaperAdvertisement.pdf"
"TATAPOWER","Tata Power Company Limited","Press Release","Tata Power Company Limited has informed the Exchange regarding a press release dated September 29, 2025, titled ""Tata Power joins hands with VE Commercial Vehicles to Accelerate Electric Mobility."".","29-Sep-2025 11:04:52","2025-09-29 11:04:52","29-Sep-2025 11:04:53","00:00:01","https://nsearchives.nseindia.com/corporate/VPTPCL_29092025110440_PR.pdf"
"TATAPOWER","Tata Power Company Limited","Press Release","Tata Power Company Limited has informed the Exchange regarding a press release dated September 26, 2025, titled ""Tata Power Renewable Energy Limited signs MoU with Bank of Baroda to accelerate clean energy adoption among MSME and C&I customers"".","26-Sep-2025 12:42:34","2025-09-26 12:42:34","26-Sep-2025 12:42:35","00:00:01","https://nsearchives.nseindia.com/corporate/VPTPCL_26092025124203_PR.pdf"